Абдалієва вулиця	вулиця Абдалієва
Плієва вулиця	вулиця Плієва
Плотинія вулиця	вулиця Плотинія
Плотиче вулиця	вулиця Плотиче
Площа Миру вулиця	вулиця Площа Миру
Площа Ринок вулиця	вулиця Площа Ринок
Плугатаря вулиця	вулиця Плугатаря
ПМК вулиця	вулиця ПМК
Побратимів вулиця	вулиця Побратимів
Побук вулиця	вулиця Побук
Повстання вулиця	вулиця Повстання
Повстянка вулиця	вулиця Повстянка
Погадаєва вулиця	вулиця Погадаєва
Погар вулиця	вулиця Погар
Погибка вулиця	вулиця Погибка
Погоріла вулиця	Погоріла вулиця
Погулянка вулиця	вулиця Погулянка
Подворанці вулиця	вулиця Подворанці
Поділ вулиця	вулиця Поділ
Поділля вулиця	вулиця Поділля
Подлесная вулиця	Подлесная вулиця
Поезії вулиця	вулиця Поезії
Покиньборода вулиця	вулиця Покиньборода
Покотило вулиця	вулиця Покотило
Поле вулиця	вулиця Поле
Полевая вулиця	Польова вулиця
Полеглих воїнів вулиця	вулиця Полеглих Воїнів
Полеглих Героїв вулиця	вулиця Полеглих Героїв
Полеглих за Революцію вулиця	вулиця Полеглих за Революцію
Полеглих Комунарів вулиця	вулиця Полеглих Комунарів
Полежаєва вулиця	вулиця Полежаєва
Полєжаєва вулиця	вулиця Полєжаєва
Полєтаєва вулиця	вулиця Полєтаєва
Полєток вулиця	вулиця Полєток
Полідовичів вулиця	вулиця Полідовичів
Полісся вулиця	вулиця Полісся
Політаєва вулиця	вулиця Політаєва
Політвідділ вулиця	вулиця Політвідділ
Політкаторжан вулиця	вулиця Політкаторжан
Полковника вулиця	вулиця Полковника
Полковника Гегечкорі вулиця	вулиця Полковника Гегечкорі
Полковника Тупіцина вулиця	вулиця Полковника Тупіцина
Полкової Сотні вулиця	вулиця Полкової Сотні
Полку Азов вулиця	вулиця Полку «Азов»
Пологая вулиця	Пологая вулиця
Поломиста вулиця	Поломиста вулиця
Полонина вулиця	вулиця Полонина
Полотнюків вулиця	вулиця Полотнюків
Полтава вулиця	вулиця Полтава
Полтарацьких вулиця	вулиця Полтарацьких
Польва вулиця	вулиця Польва
